Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it_Accuracy_Percent	google_gemma-3-27b-it_Unparsable_Percent	google_gemma-3-27b-it_Model_Error_Percent	google_gemma-3-27b-it_Total_Time_s	google_gemma-3-27b-it_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	deepseek_deepseek-v3.2_Accuracy_Percent	deepseek_deepseek-v3.2_Unparsable_Percent	deepseek_deepseek-v3.2_Model_Error_Percent	deepseek_deepseek-v3.2_Total_Time_s	deepseek_deepseek-v3.2_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	meta-llama_llama-4-scout_Accuracy_Percent	meta-llama_llama-4-scout_Unparsable_Percent	meta-llama_llama-4-scout_Model_Error_Percent	meta-llama_llama-4-scout_Total_Time_s	meta-llama_llama-4-scout_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price
OVERALL	ALL	300	20.67	5.04	0.0	2693.17	0.022026	34.67	0.0	0.0	808.92	0.160502	35.33	0.0	0.0	661.18	0.016814	24.0	0.0	0.0	4290.83	0.0	24.33	0.0	0.0	5721.35	0.081912	25.67	15.25	0.0	797.99	0.027647	30.67	0.0	0.0	1979.36	0.054527	29.0	0.47	0.0	2294.96	0.252094
submodality	audio.mastermix.wav	100	19.0	0.0	0.0	790.12	0.006355	33.0	0.0	0.0	242.57	0.040456	32.0	0.0	0.0	153.7	0.006113	24.0	0.0	0.0	740.76	0.0	16.0	0.0	0.0	924.73	0.015617	25.0	6.67	0.0	235.05	0.007969	31.0	0.0	0.0	674.55	0.018472	20.0	1.25	0.0	297.68	0.025319
submodality	symbolic.abc.txt	100	19.0	13.58	0.0	1035.49	0.008132	31.0	0.0	0.0	295.44	0.059804	41.0	0.0	0.0	244.95	0.005176	21.0	0.0	0.0	2190.54	0.0	34.0	0.0	0.0	3096.67	0.041739	21.0	24.05	0.0	313.47	0.0112	27.0	0.0	0.0	668.77	0.018373	28.0	0.0	0.0	1167.9	0.130782
submodality	visual.short.png	100	24.0	1.32	0.0	867.57	0.007539	40.0	0.0	0.0	270.91	0.060242	33.0	0.0	0.0	262.53	0.005526	27.0	0.0	0.0	1359.53	0.0	23.0	0.0	0.0	1699.95	0.024556	31.0	14.49	0.0	249.47	0.008479	34.0	0.0	0.0	636.04	0.017682	39.0	0.0	0.0	829.38	0.095993
piece_id	Anonymous_AusMeinesHerzensGrunde	18	27.78	0.0	0.0	134.01	0.001287	11.11	0.0	0.0	46.78	0.009743	11.11	0.0	0.0	40.06	0.000915	0.0	0.0	0.0	245.6	0.0	11.11	0.0	0.0	340.38	0.004337	27.78	7.69	0.0	57.85	0.001894	5.56	0.0	0.0	130.51	0.003674	22.22	7.14	0.0	175.86	0.020016
piece_id	Bach_IchStehAnDeinerKrippe	33	21.21	3.85	0.0	371.5	0.002868	42.42	0.0	0.0	87.74	0.018396	30.3	0.0	0.0	74.76	0.001947	9.09	0.0	0.0	520.58	0.0	12.12	0.0	0.0	531.06	0.00812	15.15	25.0	0.0	82.18	0.002799	33.33	0.0	0.0	209.05	0.005841	30.3	0.0	0.0	260.43	0.031868
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	10.0	7.41	0.0	249.84	0.001711	33.33	0.0	0.0	91.88	0.017954	33.33	0.0	0.0	62.05	0.001745	20.0	0.0	0.0	468.07	0.0	10.0	0.0	0.0	877.74	0.009772	20.0	16.67	0.0	78.59	0.002778	20.0	0.0	0.0	198.55	0.005666	36.67	0.0	0.0	259.97	0.029697
piece_id	Drese_JesuGehVoran	39	25.64	6.9	0.0	368.66	0.002926	46.15	0.0	0.0	102.29	0.020069	43.59	0.0	0.0	84.43	0.00241	43.59	0.0	0.0	422.34	0.0	33.33	0.0	0.0	644.81	0.010174	33.33	23.08	0.0	102.75	0.003627	46.15	0.0	0.0	218.48	0.006852	30.77	0.0	0.0	198.68	0.021726
piece_id	Gesius_BefiehlDuDeineWege	24	8.33	4.55	0.0	157.56	0.001867	41.67	0.0	0.0	59.74	0.01205	33.33	0.0	0.0	53.19	0.001269	16.67	0.0	0.0	253.98	0.0	25.0	0.0	0.0	237.91	0.00501	20.83	10.53	0.0	63.06	0.002233	25.0	0.0	0.0	160.07	0.004531	25.0	0.0	0.0	213.51	0.023773
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	16.67	2.86	0.0	391.28	0.003638	21.43	0.0	0.0	106.69	0.021554	28.57	0.0	0.0	92.88	0.002302	19.05	0.0	0.0	637.39	0.0	26.19	0.0	0.0	972.32	0.014206	23.81	15.62	0.0	124.13	0.004493	28.57	0.0	0.0	258.05	0.007749	21.43	0.0	0.0	328.1	0.033046
